role_bucket,style_cluster_id,metric,cluster_median,role_median,difference,z_difference,coverage
FW,FW_C01,Key passes,0.33,0.42,-0.08999999999999997,-0.29512206367183774,0.9705111402359109
FW,FW_C01,Passes for a shot,0.4,0.49,-0.08999999999999997,-0.3122068183672214,0.9829619921363041
FW,FW_C01,Passes,15.8,17.8,-2.0,-0.29672682274779577,1.0
FW,FW_C01,Lost balls,5.93,6.75,-0.8200000000000003,-0.4700878622773721,1.0
FW,FW_C02,Shots,2.14,2.13,0.010000000000000231,0.013971646997400748,1.0
FW,FW_C02,Shots from the penalty area,1.71,1.64,0.07000000000000006,0.11429607745321704,1.0
FW,FW_C02,xG (expected goals),0.355,0.33,0.024999999999999967,0.1654620046706705,1.0
FW,FW_C02,Actions in opponent's box,5.77,4.52,1.25,0.7553629114198432,1.0
FW,FW_C02,Open passes received,15.12,14.89,0.22999999999999865,0.039298570355203295,1.0
FW,FW_C02,Open passes received in the final third,7.77,7.59,0.17999999999999972,0.0625532804128266,1.0
FW,FW_C02,Open passes received in the opponent's box,1.81,1.56,0.25,0.39516386275260496,1.0
FW,FW_C02,Air challenges,7.35,4.83,2.5199999999999996,0.8597501247649405,1.0
FW,FW_C02,Attacking challenges,13.01,8.65,4.359999999999999,1.0696886301943223,1.0
FW,FW_C02,Defensive challenges,3.32,2.89,0.4299999999999997,0.4264182837666454,1.0
FW,FW_C02,Dribbles,1.9249999999999998,1.65,0.2749999999999999,0.2346741904683486,1.0
FW,FW_C02,Key passes,0.46,0.42,0.040000000000000036,0.13116536163192805,0.9846449136276392
FW,FW_C02,Passes for a shot,0.52,0.49,0.030000000000000027,0.1040689394557406,0.9923224568138196
FW,FW_C02,Passes,17.675,17.8,-0.125,-0.018545426421737236,1.0
